date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-08-07,17.56,3.31,450,"1993-07-31 2022-08-14",92.18,7.22,450,"1993-07-31 2022-08-14",26.71,3.47,450,"1993-07-31 2022-08-14",20.19,6.65,450,"1993-07-31 2022-08-14",12.72,3.56,450,"1993-07-31 2022-08-14",50.31,12.9,450,"1993-07-31 2022-08-14",15.14,2.95,450,"1993-07-31 2022-08-14",3.16,3,450,"1993-07-31 2022-08-14",3.07,8,450,"1993-07-31 2022-08-14",3.07,8,450,"1993-07-31 2022-08-14",0,0,450,"1993-07-31 2022-08-14",0,0,450,"1993-07-31 2022-08-14",20264,6092.93,135,"2014-07-31 2022-08-14"
2023-08-06,17.54,3.3,450,"1993-07-30 2022-08-13",92.09,7.3,450,"1993-07-30 2022-08-13",26.74,3.48,450,"1993-07-30 2022-08-13",20.24,6.62,450,"1993-07-30 2022-08-13",12.72,3.54,450,"1993-07-30 2022-08-13",50.37,13.04,450,"1993-07-30 2022-08-13",15.19,2.94,450,"1993-07-30 2022-08-13",3.2,2.95,450,"1993-07-30 2022-08-13",3.11,8.03,450,"1993-07-30 2022-08-13",3.11,8.03,450,"1993-07-30 2022-08-13",0,0,450,"1993-07-30 2022-08-13",0,0,450,"1993-07-30 2022-08-13",20368,6030.7,135,"2014-07-30 2022-08-13"
2023-08-05,17.51,3.34,450,"1993-07-29 2022-08-12",91.86,7.52,450,"1993-07-29 2022-08-12",26.81,3.45,450,"1993-07-29 2022-08-12",20.36,6.6,450,"1993-07-29 2022-08-12",12.69,3.55,450,"1993-07-29 2022-08-12",50.1,12.92,450,"1993-07-29 2022-08-12",15.22,2.94,450,"1993-07-29 2022-08-12",3.22,2.99,450,"1993-07-29 2022-08-12",3.09,8.05,450,"1993-07-29 2022-08-12",3.09,8.05,450,"1993-07-29 2022-08-12",0,0,450,"1993-07-29 2022-08-12",0,0,450,"1993-07-29 2022-08-12",20517,6007.52,135,"2014-07-29 2022-08-12"
2023-08-04,17.54,3.35,450,"1993-07-28 2022-08-11",91.78,7.48,450,"1993-07-28 2022-08-11",26.85,3.43,450,"1993-07-28 2022-08-11",20.41,6.72,450,"1993-07-28 2022-08-11",12.71,3.54,450,"1993-07-28 2022-08-11",50.2,13.09,450,"1993-07-28 2022-08-11",15.28,2.91,450,"1993-07-28 2022-08-11",3.17,2.95,450,"1993-07-28 2022-08-11",3.1,8.05,450,"1993-07-28 2022-08-11",3.1,8.05,450,"1993-07-28 2022-08-11",0,0,450,"1993-07-28 2022-08-11",0,0,450,"1993-07-28 2022-08-11",20868,5721.26,135,"2014-07-28 2022-08-11"
2023-08-03,17.59,3.29,450,"1993-07-27 2022-08-10",91.75,7.42,450,"1993-07-27 2022-08-10",26.87,3.42,450,"1993-07-27 2022-08-10",20.49,6.73,450,"1993-07-27 2022-08-10",12.74,3.49,450,"1993-07-27 2022-08-10",50.2,12.95,450,"1993-07-27 2022-08-10",15.32,2.9,450,"1993-07-27 2022-08-10",3.18,2.92,450,"1993-07-27 2022-08-10",3.12,8,450,"1993-07-27 2022-08-10",3.12,8,450,"1993-07-27 2022-08-10",0,0,450,"1993-07-27 2022-08-10",0,0,450,"1993-07-27 2022-08-10",20811,5764.87,135,"2014-07-27 2022-08-10"
2023-08-02,17.59,3.25,450,"1993-07-26 2022-08-09",91.73,7.36,450,"1993-07-26 2022-08-09",26.89,3.42,450,"1993-07-26 2022-08-09",20.61,6.76,450,"1993-07-26 2022-08-09",12.74,3.41,450,"1993-07-26 2022-08-09",50.08,12.72,450,"1993-07-26 2022-08-09",15.33,2.9,450,"1993-07-26 2022-08-09",3.15,2.93,450,"1993-07-26 2022-08-09",2.96,7.36,450,"1993-07-26 2022-08-09",2.96,7.36,450,"1993-07-26 2022-08-09",0,0,450,"1993-07-26 2022-08-09",0,0,450,"1993-07-26 2022-08-09",20776,5824.18,135,"2014-07-26 2022-08-09"
2023-08-01,17.59,3.24,450,"1993-07-25 2022-08-08",91.67,7.32,450,"1993-07-25 2022-08-08",26.91,3.32,450,"1993-07-25 2022-08-08",20.64,6.75,450,"1993-07-25 2022-08-08",12.7,3.4,450,"1993-07-25 2022-08-08",49.89,12.65,450,"1993-07-25 2022-08-08",15.34,2.87,450,"1993-07-25 2022-08-08",3.12,2.97,450,"1993-07-25 2022-08-08",3.21,7.99,450,"1993-07-25 2022-08-08",3.21,7.99,450,"1993-07-25 2022-08-08",0,0,450,"1993-07-25 2022-08-08",0,0,450,"1993-07-25 2022-08-08",20732,5861.22,135,"2014-07-25 2022-08-08"
2023-07-31,17.55,3.29,450,"1993-07-24 2022-08-07",91.36,7.47,450,"1993-07-24 2022-08-07",26.84,3.33,450,"1993-07-24 2022-08-07",20.63,6.77,450,"1993-07-24 2022-08-07",12.68,3.44,450,"1993-07-24 2022-08-07",49.99,12.56,450,"1993-07-24 2022-08-07",15.35,2.88,450,"1993-07-24 2022-08-07",3.13,3.03,450,"1993-07-24 2022-08-07",3.36,8.57,450,"1993-07-24 2022-08-07",3.36,8.57,450,"1993-07-24 2022-08-07",0,0,450,"1993-07-24 2022-08-07",0,0,450,"1993-07-24 2022-08-07",20728,5956.75,135,"2014-07-24 2022-08-07"
2023-07-30,17.63,3.24,450,"1993-07-23 2022-08-06",91.35,7.4,450,"1993-07-23 2022-08-06",26.86,3.34,450,"1993-07-23 2022-08-06",20.75,6.75,450,"1993-07-23 2022-08-06",12.7,3.39,450,"1993-07-23 2022-08-06",50.06,12.49,450,"1993-07-23 2022-08-06",15.41,2.81,450,"1993-07-23 2022-08-06",3.15,3.02,450,"1993-07-23 2022-08-06",3.52,8.7,450,"1993-07-23 2022-08-06",3.52,8.7,450,"1993-07-23 2022-08-06",0,0,450,"1993-07-23 2022-08-06",0,0,450,"1993-07-23 2022-08-06",20650,6038.2,135,"2014-07-23 2022-08-06"
2023-07-29,17.7,3.19,450,"1993-07-22 2022-08-05",91.23,7.44,450,"1993-07-22 2022-08-05",26.95,3.29,450,"1993-07-22 2022-08-05",20.84,6.71,450,"1993-07-22 2022-08-05",12.8,3.33,450,"1993-07-22 2022-08-05",50.09,12.57,450,"1993-07-22 2022-08-05",15.55,2.77,450,"1993-07-22 2022-08-05",3.14,3,450,"1993-07-22 2022-08-05",3.44,8.56,450,"1993-07-22 2022-08-05",3.44,8.56,450,"1993-07-22 2022-08-05",0,0,450,"1993-07-22 2022-08-05",0,0,450,"1993-07-22 2022-08-05",20521,6066.4,134,"2014-07-23 2022-08-05"
